WormBaseID	SRR28479535	SRR28479537	SRR28479531	SRR28479538	SRR28479526	SRR28479528	SRR28479530	SRR28479534	SRR28479529	SRR28479539	SRR28479525	SRR28479532	SRR28479533	SRR28479536	SRR28479527	SRR28479540
WBGene00011760	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10406.265477411604	0.0	0.0	0.0	0.0	10223.53274272436	0.0
WBGene00045308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8277.82239045844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00011345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4192.062859155943	0.0	0.0	4069.972795684088	0.0	0.0	0.0	0.0	0.0
WBGene00020260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00013717	13385.00273670169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00019285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7272.456981918372	5260.612819195631	0.0	0.0	0.0	0.0	5172.848810374699	0.0
WBGene00007176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9137.055967886012	0.0	0.0	0.0	0.0
WBGene00016204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14459.90254791007	0.0	0.0	0.0	0.0	30956.18615457062	0.0	0.0	0.0
WBGene00043067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00019717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00017948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00018210	0.0	25928.71133091804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23753.388827805487	0.0	10044.2974729219	0.0
WBGene00004221	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5214.593954283984	0.0	0.0	0.0	7062.640675125304	0.0
WBGene00020914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00015333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00018241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00007837	0.0	0.0	0.0	0.0	7341.869187053361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00013331	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00045053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00219886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00010460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00021633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18099.45148974594	0.0	0.0	0.0	0.0	0.0
WBGene00004017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00009702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00007041	0.0	0.0	0.0	0.0	2362.9615154727344	0.0	3135.2350004411364	0.0	0.0	0.0	2339.019621150574	10041.063400645016	5167.297495359367	0.0	0.0	0.0
WBGene00009958	0.0	0.0	4826.0388029754295	0.0	3554.244945238598	0.0	0.0	2473.44013195595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00016246	0.0	0.0	0.0	0.0	0.0	0.0	7482.2219628190005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00001440	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00011161	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00019532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00021275	0.0	7466.035883952227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00007916	0.0	0.0	9948.29445766739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4759.58180804417	0.0
WBGene00001941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00007338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00011793	0.0	0.0	0.0	6701.746364135399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00009738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00008234	0.0	30964.622517983153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00019426	0.0	0.0	0.0	5278.620889678339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4196.686353536955	0.0
WBGene00003015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00016175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9762.141534703842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020835	9661.849948414074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00002184	0.0	66668.2539407661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4443.7841358175265	0.0	0.0	0.0	0.0	0.0
WBGene00003007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5857.905661783674	0.0	0.0	0.0	10050.293873696068	0.0	0.0	0.0
WBGene00010906	0.0	0.0	0.0	0.0	8176.849821420855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5373.864791415802	0.0	0.0
WBGene00020531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00002109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00012224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000727	0.0	0.0	0.0	0.0	0.0	12804.78403856707	0.0	9226.52930049166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00016663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00010873	0.0	0.0	0.0	0.0	5488.445774346313	0.0	7189.226163634202	0.0	0.0	0.0	5460.374408796197	0.0	0.0	0.0	0.0	0.0
WBGene00008023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00015789	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00016463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13132.328650877074	16440.79659866754	0.0	0.0	0.0	0.0	0.0
WBGene00021975	0.0	0.0	0.0	0.0	21195.864288207875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24405.66022568786	0.0	0.0
WBGene00016003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00011530	1766.1947913653137	0.0	0.0	0.0	5066.104331839852	0.0	0.0	1745.9893382053895	0.0	0.0	0.0	0.0	0.0	0.0	1510.0522473765634	2032.7344853599507
WBGene00006163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00010072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1650.532709114919	0.0
WBGene00020222	0.0	0.0	0.0	0.0	0.0	0.0	8794.179901963214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00012989	0.0	0.0	15089.710614214111	0.0	0.0	0.0	0.0	0.0	9597.491856087472	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00016805	5997.571569229243	0.0	0.0	6727.657111724082	6091.592056507933	0.0	0.0	0.0	0.0	0.0	4452.075002470406	0.0	0.0	0.0	5446.164627556518	0.0
WBGene00001592	0.0	0.0	12000.8135533669	0.0	0.0	0.0	7940.128317105398	0.0	0.0	0.0	0.0	0.0	13097.120561364212	4100.75901670418	0.0	0.0
WBGene00194717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00020449	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
