Gene_ID	SRR28479526	SRR28479525
WBGeneC12D5	72.2281	224.982
WBGeneC12D8	243.419061	393.0902
WBGeneC13A10	0.0	0.0
WBGeneC13A2	0.0	0.0
WBGeneC13B4	103.3561	191.099
WBGeneC13B7	0.0	0.0
WBGeneC13B9	123.434	175.731
WBGeneC13C12	165.648	0.0
WBGeneC13C4	0.0	68.319122273
WBGeneC13D9	0.0	0.0
WBGeneC13E3	97.2079	0.0
WBGeneC13F10	479.3	507.173
WBGeneC13G3	65.3548	172.832
WBGeneC13G5	0.0	0.0
WBGeneC14A11	55.3009	310.717
WBGeneC14A4	769.559	1525.7597
WBGeneC14A6	0.0	0.0
WBGeneC14B1	634.8937	789.0404
WBGeneC14B4	33.907455299999995	32.0029
WBGeneC14B9	2605.2522	3540.4451000000004
WBGeneC14C10	45.8831941	386.965327
WBGeneC14C11	313.38789999999995	396.94899999999996
WBGeneC14C6	0.0	0.0
WBGeneC14E2	0.0	0.0
WBGeneC14F11	340.5888	607.5236
WBGeneC14F5	890.1300000000001	329.172099
WBGeneC14H10	274.66570461097	172.27060590919
WBGeneC15A11	0.0	0.0
WBGeneC15A7	0.0	0.0
WBGeneC15B12	0.0	0.0
WBGeneC15C6	217.0333	377.3931
WBGeneC15C7	324.283	99.6447
WBGeneC15C8	532.4587	418.5
WBGeneC15F1	331.126	448.0063
WBGeneC15H11	1100.126	401.4205
WBGeneC15H7	0.0	0.0
WBGeneC15H9	2564.9163	835.0042599999999
WBGeneC16A11	0.0	0.0
WBGeneC16A3	1556.4066	2706.4552
WBGeneC16B8	448.149	0.0
WBGeneC16C10	943.7497	2369.5627
WBGeneC16C2	333.7598	169.6863
WBGeneC16C4	0.0	0.0
WBGeneC16C8	41.4702	78.5213
WBGeneC16D2	0.0	0.0
WBGeneC16D6	0.0	0.0
WBGeneC16D9	0.0	0.0
WBGeneC16E9	224.20529999999997	81.87104
WBGeneC16H3	176.541	471.30699999999996
WBGeneC17A2	0.0	0.0
WBGeneC17B7	0.0	0.0
