target_id,WBGene_ID,tpm
B0280.10b.3,WBGene00015105,0.0
B0280.10c.1,WBGene00015105,0.0
B0280.11.1,WBGene00015106,0.0
B0280.12a.1,WBGene00001613,0.0
B0280.12b.1,WBGene00001613,0.0
B0280.13.1,WBGene00015107,121.968
B0280.17.1,WBGene00044674,0.0
B0280.1a.1,WBGene00015099,0.0
B0280.1b.1,WBGene00015099,0.0
B0280.1b.2,WBGene00015099,0.0
B0280.2.1,WBGene00015100,0.0
B0280.3.1,WBGene00015101,0.0
B0280.3.2,WBGene00015101,0.0
B0280.4.1,WBGene00003845,0.0
B0280.5.1,WBGene00015102,0.0
B0280.7.1,WBGene00015103,0.0
B0280.8.1,WBGene00003609,0.0
B0280.9.1,WBGene00015104,0.0
B0281.1.1,WBGene00015108,0.0
B0281.3.1,WBGene00015110,253.221
B0281.4.1,WBGene00015111,0.0
B0281.5a.1,WBGene00015112,0.0
B0281.5b.1,WBGene00015112,0.0
B0281.6.1,WBGene00015113,0.0
B0281.8a.1,WBGene00015114,0.0
B0281.8b.1,WBGene00015114,0.0
B0281.8c.1,WBGene00015114,0.0
B0281.8d.1,WBGene00015114,0.0
B0284.1.1,WBGene00007131,0.0
B0284.2.1,WBGene00007132,0.0
B0284.3.1,WBGene00007133,0.0
B0284.4.1,WBGene00007134,0.0
B0285.10.1,WBGene00000513,0.0
B0285.1a.1,WBGene00007135,0.0
B0285.1a.2,WBGene00007135,73.1401
B0285.1b.1,WBGene00007135,0.0
B0285.1b.2,WBGene00007135,0.290979
B0285.1c.1,WBGene00007135,0.0
B0285.1c.2,WBGene00007135,18.2817
B0285.3.1,WBGene00007136,0.0
B0285.4.1,WBGene00007137,0.0
B0285.5.1,WBGene00002003,0.0
B0285.5.2,WBGene00002003,0.0
B0285.5.3,WBGene00002003,0.0
B0285.6.1,WBGene00007138,0.0
B0285.7.1,WBGene00007139,0.0
B0285.8.1,WBGene00000511,0.0
B0285.9.1,WBGene00000512,0.0
B0286.1.1,WBGene00015115,271.874
B0286.1.2,WBGene00015115,0.0
B0286.2a.1,WBGene00002252,0.0
B0286.2b.1,WBGene00002252,181.338
B0286.3.1,WBGene00015116,0.0
B0286.4a.1,WBGene00003825,151.306
B0286.4b.1,WBGene00003825,0.0
B0286.4c.1,WBGene00003825,0.0
B0286.4c.2,WBGene00003825,0.0171029
B0286.4c.3,WBGene00003825,0.0
B0286.4c.4,WBGene00003825,0.0
B0286.4c.5,WBGene00003825,0.0
B0286.4c.6,WBGene00003825,0.0
B0286.4c.7,WBGene00003825,0.0
B0286.4c.8,WBGene00003825,0.0
B0286.4c.9,WBGene00003825,0.0
B0286.4d.1,WBGene00003825,0.0
B0286.5.1,WBGene00001438,0.0
B0286.6.1,WBGene00023425,0.0
B0294.1.1,WBGene00015117,0.0
B0294.3.1,WBGene00015118,0.0
B0302.1a.1,WBGene00002207,0.0
B0302.1b.1,WBGene00002207,0.0
B0302.2.1,WBGene00015119,0.0
B0302.4.1,WBGene00015121,0.0
B0302.5.1,WBGene00015122,405.609
B0303.11a.1,WBGene00015131,75.5778
B0303.11a.2,WBGene00015131,0.0
B0303.11b.1,WBGene00015131,4.96172e-05
B0303.14.1,WBGene00015132,0.0
B0303.15.1,WBGene00015133,0.0
B0303.16.1,WBGene00044678,0.0
B0303.2.1,WBGene00015124,0.0
B0303.2.2,WBGene00015124,0.0
B0303.3.1,WBGene00015125,0.0
B0303.3.2,WBGene00015125,0.0
B0303.4.1,WBGene00015126,0.0
B0303.4.2,WBGene00015126,0.0
B0303.7a.1,WBGene00015128,3.81299
B0303.7b.1,WBGene00015128,124.576
B0303.8.1,WBGene00015129,0.0
B0303.9.1,WBGene00015130,0.0
B0304.1a.1,WBGene00001948,0.0
B0304.1a.2,WBGene00001948,0.0
B0304.1b.1,WBGene00001948,0.0
B0304.1c.1,WBGene00001948,0.0
B0304.2.1,WBGene00015134,0.0
B0304.3.1,WBGene00015135,0.0
B0304.4.1,WBGene00015136,0.0
B0304.5.1,WBGene00005058,0.0
B0304.5.2,WBGene00005058,0.0
B0304.6.1,WBGene00005059,0.0
B0304.7.1,WBGene00005060,0.0
B0304.8.1,WBGene00005061,0.0
B0304.9.1,WBGene00005062,0.0
B0310.1a.1,WBGene00015137,0.0
B0310.1b.1,WBGene00015137,0.0
B0310.2a.1,WBGene00015138,0.0
B0310.2b.1,WBGene00015138,0.0
B0310.3.1,WBGene00015139,0.0
B0310.3.2,WBGene00015139,0.0
B0310.3.3,WBGene00015139,0.0
B0310.5a.1,WBGene00015141,123.709
B0310.5b.1,WBGene00015141,0.0
B0310.6.1,WBGene00015142,0.0
B0331.1.1,WBGene00007140,0.0
B0331.2.1,WBGene00007141,0.0
B0334.1.1,WBGene00007142,744.365
B0334.10.1,WBGene00007148,0.0
B0334.11a.1,WBGene00003868,0.0
B0334.11b.1,WBGene00003868,0.0
B0334.13.1,WBGene00007149,0.0
B0334.15.1,WBGene00195248,0.0
B0334.15.2,WBGene00195248,0.0
B0334.2.1,WBGene00006660,0.0
B0334.20.1,WBGene00219293,0.0
B0334.3a.1,WBGene00007143,0.0
B0334.3b.1,WBGene00007143,0.0
B0334.4.1,WBGene00007144,0.0
B0334.5.1,WBGene00007145,0.0
B0334.6.1,WBGene00007146,0.0
B0334.7.1,WBGene00005267,0.0
B0334.8a.1,WBGene00000090,54.6328
B0334.8b.1,WBGene00000090,0.0
B0336.10.1,WBGene00004435,0.0
